Date,0050.TW,006208.TW,0056.TW,00878.TW,00919.TW,2330.TW
2009/7/15,46.36999893,,20.20000076,,,53.40000153
2009/7/16,47.59999847,,21,,,55
2009/7/17,47.59999847,,21,,,54.90000153
2009/7/20,48.41999817,,21.02000046,,,54.90000153
2009/7/21,48.5,,21.39999962,,,55
2009/7/22,48.70000076,,21.48999977,,,55.20000076
2009/7/23,48.47999954,,21.55999947,,,55.5
2009/7/24,48.79999924,,21.60000038,,,57
2009/7/27,48.5,,21.60000038,,,57.20000076
2009/7/28,48.83000183,,21.70000076,,,57.59999847
2009/7/29,49.70000076,,22.20000076,,,58
2009/7/30,49.11999893,,21.79999924,,,56.09999847
2009/7/31,49.11000061,,22,,,58.29999924
2009/8/3,49.09999847,,22,,,58.59999847
2009/8/4,49.58000183,,22.10000038,,,58.59999847
2009/8/5,48.61999893,,21.79999924,,,57.90000153
2009/8/6,48.04999924,,21.42000008,,,57.5
2009/8/7,48.13999939,,21.5,,,56.79999924
2009/8/10,48,,21.69000053,,,57.29999924
2009/8/11,48.29999924,,21.54999924,,,57.29999924
2009/8/12,48.20000076,,21.60000038,,,57.09999847
2009/8/13,0,,0,,,58
2009/8/14,49.63999939,,22.04999924,,,59.20000076
2009/8/17,49.15000153,,22.10000038,,,59
2009/8/18,48.20000076,,21.70000076,,,57.09999847
2009/8/19,48.22999954,,21.20000076,,,57.5
2009/8/20,47.79000092,,21.20000076,,,57.40000153
2009/8/21,47.91999817,,21.20000076,,,58
2009/8/24,48,,21.39999962,,,57.79999924
2009/8/25,48.65999985,,21.39999962,,,58.59999847
2009/8/26,48.36999893,,21.11000061,,,58.70000076
2009/8/27,47.63999939,,21,,,58.5
2009/8/28,47.79999924,,20.89999962,,,59
2009/8/31,48.68999863,,21.20000076,,,59.59999847
2009/9/1,48.45000076,,21.10000038,,,59.40000153
2009/9/2,49.70000076,,21.61000061,,,60.40000153
2009/9/3,50.04999924,,21.84000015,,,60.20000076
2009/9/4,50.59999847,,22.29999924,,,60.20000076
2009/9/7,51.15000153,,22.45000076,,,60.09999847
2009/9/8,51.84999847,,22.45000076,,,62
2009/9/9,52.40000153,,22.68000031,,,62.79999924
2009/9/10,54.90000153,,22.60000038,,,64.69999695
2009/9/11,52.5,,22.57999992,,,62.79999924
2009/9/14,52.29999924,,22.75,,,62.40000153
2009/9/15,51.90000153,,22.54999924,,,61
2009/9/16,52.79999924,,22.70000076,,,62.59999847
2009/9/17,53.5,,22.95000076,,,63
2009/9/18,52.95000076,,23.04999924,,,62
2009/9/21,53.29999924,,23.10000038,,,62.5
2009/9/22,53.15000153,,23.14999962,,,62
2009/9/23,52.90000153,,23,,,62.70000076
2009/9/24,52.59999847,,22.60000038,,,62
2009/9/25,51.75,,22.5,,,61
2009/9/28,52.09999847,,22.5,,,61.40000153
2009/9/29,52.45000076,,22.39999962,,,62
2009/9/30,52.95000076,,22.60000038,,,63.70000076
2009/10/1,53.79999924,,22.98999977,,,65
2009/10/2,52.79999924,,23,,,63
2009/10/5,52.70000076,,22.60000038,,,62
2009/10/6,52.65000153,,22.89999962,,,62
2009/10/7,53.90000153,,23.25,,,63
2009/10/8,53.90000153,,23.60000038,,,61.20000076
2009/10/9,53.29999924,,23.5,,,60.79999924
2009/10/12,53.5,,23.54999924,,,61.79999924
2009/10/13,52.90000153,,23.60000038,,,60.59999847
2009/10/14,53.84999847,,24,,,62.5
2009/10/15,54.95000076,,24.18000031,,,64
2009/10/16,54.65000153,,23.89999962,,,62.5
2009/10/19,54.15000153,,24.10000038,,,61.70000076
2009/10/20,54.95000076,,24.10000038,,,61.79999924
2009/10/21,54.79999924,,23.87999916,,,61.70000076
2009/10/22,54.20000076,,24.29999924,,,62.20000076
2009/10/23,53.20000076,,21.84000015,,,62
2009/10/26,53.65000153,,21.76000023,,,61.79999924
2009/10/27,53.15000153,,21.60000038,,,61.5
2009/10/28,53.09999847,,21.5,,,61.29999924
2009/10/29,51.79999924,,21.10000038,,,60
2009/10/30,51.75,,20.89999962,,,61.40000153
2009/11/2,50.79999924,,20.88999939,,,59.5
2009/11/3,51.34999847,,20.88999939,,,59.70000076
2009/11/4,51.29999924,,20.82999992,,,59.20000076
2009/11/5,51.95000076,,21.20000076,,,59.90000153
2009/11/6,52.45000076,,21.20000076,,,60.29999924
2009/11/9,52.70000076,,21.30999947,,,60.5
2009/11/10,53,,21.48999977,,,60.40000153
2009/11/11,53.34999847,,21.42000008,,,61
2009/11/12,53.84999847,,21.60000038,,,62.5
